,molecular_weight,logp,h_bond_donors,h_bond_acceptors,rotatable_bonds,polar_surface_area,compound_clogp,protein_length,protein_pi,hydrophobicity,binding_site_size,mw_ratio,logp_pi_interaction,binding_affinity
molecular_weight,1.0,-0.017407329336632454,-0.02835165888477713,0.01788713201610528,-0.00047476981752674345,0.01834917033744277,0.0046881262365160185,0.023700586826054946,0.0001364601292758656,-0.012867671709902192,0.01410370788810868,0.280369682157992,-0.021004117478328782,-0.014968736161469744
logp,-0.017407329336632454,1.0,-0.025549466639284087,-0.015150076684541427,-0.0011674620792986288,0.0030238515211085167,0.02736984413850357,-0.026940079670200654,0.01577129701634217,-0.006598362870783208,-0.013973262729790959,0.0005160204340892844,0.8116359525128054,0.6074432997697472
h_bond_donors,-0.02835165888477713,-0.025549466639284087,1.0,-0.033458597230968515,0.01240990854864853,0.0066552055369310335,-0.022185585702801765,0.019113923099798445,0.024335435949861355,0.02382032222671524,0.025971722467474267,-0.03614505454291624,-0.009050078122798651,-0.006698986226916141
h_bond_acceptors,0.01788713201610528,-0.015150076684541427,-0.033458597230968515,1.0,-0.003936270970914786,0.00016033984696046835,-0.007645776876036766,-0.04777014182126214,-0.019344848703836473,-0.02499162138455216,-0.011228858603111,0.036818479319452334,-0.008689324461471248,-0.007001775963397898
rotatable_bonds,-0.00047476981752674345,-0.0011674620792986288,0.01240990854864853,-0.003936270970914786,1.0,0.028357462420564018,0.011131498854627291,0.00056395101184767,-0.0007559419431660453,0.0016004072856347909,-0.034644305469829696,0.001292936479275313,0.010958396724001625,0.0275862208450063
polar_surface_area,0.01834917033744277,0.0030238515211085167,0.0066552055369310335,0.00016033984696046835,0.028357462420564018,1.0,-0.011937253966037292,-0.007967485624965255,-0.00040710446370796703,0.007326430040882826,0.00772138840567088,0.021078559058075586,0.022634198506204482,0.01589366428229992
compound_clogp,0.0046881262365160185,0.02736984413850357,-0.022185585702801765,-0.007645776876036766,0.011131498854627291,-0.011937253966037292,1.0,-0.02158859318809079,-0.04497048922489739,0.028331570866295445,-0.031453285678404296,0.002548956270343695,-0.0008523598296874765,-0.0040097328771972925
protein_length,0.023700586826054946,-0.026940079670200654,0.019113923099798445,-0.04777014182126214,0.00056395101184767,-0.007967485624965255,-0.02158859318809079,1.0,0.011179004557142824,0.017422050141253063,-0.01630588594769413,-0.8162996604105831,-0.009936472863608145,0.05633729538416475
protein_pi,0.0001364601292758656,0.01577129701634217,0.024335435949861355,-0.019344848703836473,-0.0007559419431660453,-0.00040710446370796703,-0.04497048922489739,0.011179004557142824,1.0,-0.0049579935335238405,-0.003828862273530092,-0.011397363345612362,0.40424765093920817,0.2953123200698537
hydrophobicity,-0.012867671709902192,-0.006598362870783208,0.02382032222671524,-0.02499162138455216,0.0016004072856347909,0.007326430040882826,0.028331570866295445,0.017422050141253063,-0.0049579935335238405,1.0,0.011000710530987112,-0.010808098337607111,-0.01889765588202619,0.02776978720862016
binding_site_size,0.01410370788810868,-0.013973262729790959,0.025971722467474267,-0.011228858603111,-0.034644305469829696,0.00772138840567088,-0.031453285678404296,-0.01630588594769413,-0.003828862273530092,0.011000710530987112,1.0,0.027847873526613682,-0.007249644593291698,-0.005611915505589287
mw_ratio,0.280369682157992,0.0005160204340892844,-0.03614505454291624,0.036818479319452334,0.001292936479275313,0.021078559058075586,0.002548956270343695,-0.8162996604105831,-0.011397363345612362,-0.010808098337607111,0.027847873526613682,1.0,-0.011222438223252282,-0.0711335932001934
logp_pi_interaction,-0.021004117478328782,0.8116359525128054,-0.009050078122798651,-0.008689324461471248,0.010958396724001625,0.022634198506204482,-0.0008523598296874765,-0.009936472863608145,0.40424765093920817,-0.01889765588202619,-0.007249644593291698,-0.011222438223252282,1.0,0.7511139920019225
binding_affinity,-0.014968736161469744,0.6074432997697472,-0.006698986226916141,-0.007001775963397898,0.0275862208450063,0.01589366428229992,-0.0040097328771972925,0.05633729538416475,0.2953123200698537,0.02776978720862016,-0.005611915505589287,-0.0711335932001934,0.7511139920019225,1.0
